periodo_txt,periodo,fecha,alim_indice,general_indice,ajuste_pp,ipc_alim_m,ipc_general_m,brecha_m
abr-04,2004-04,2004-04-01,37.2,48.2,,-0.7999999999999896,-0.20703933747411307,-0.5929606625258765
may-04,2004-05,2004-05-01,37.2,48.4,,0.0,0.4149377593360981,-0.4149377593360981
jun-04,2004-06,2004-06-01,37.8,48.8,,1.612903225806428,0.8264462809917328,0.7864569448146952
jul-04,2004-07,2004-07-01,37.9,48.9,,0.2645502645502784,0.2049180327868827,0.059632231763395716
ago-04,2004-08,2004-08-01,39.4,49.6,,3.95778364116095,1.4314928425357865,2.5262907986251637
sept-04,2004-09,2004-09-01,37.8,48.9,,-4.060913705583758,-1.4112903225806495,-2.6496233830031084
oct-04,2004-10,2004-10-01,36.7,48.5,,-2.910052910052896,-0.8179959100204415,-2.0920570000324545
nov-04,2004-11,2004-11-01,36.0,48.4,,-1.9073569482288888,-0.20618556701030855,-1.7011713812185802
dic-04,2004-12,2004-12-01,37.1,49.2,,3.055555555555567,1.6528925619834878,1.4026629935720791
ene-05,2005-01,2005-01-01,37.6,49.6,,1.3477088948786964,0.8130081300812941,0.5347007647974023
feb-05,2005-02,2005-02-01,37.9,49.9,,0.7978723404255206,0.6048387096774244,0.1930336307480962
mar-05,2005-03,2005-03-01,38.9,50.4,,2.638522427440626,1.002004008016022,1.636518419424604
abr-05,2005-04,2005-04-01,39.2,51.1,12.0,0.7712082262210984,1.388888888888884,-0.6176806626677855
may-05,2005-05,2005-05-01,39.7,51.8,,1.2755102040816313,1.3698630136986134,-0.09435280961698211
jun-05,2005-06,2005-06-01,39.3,51.8,,-1.0075566750629816,0.0,-1.0075566750629816
jul-05,2005-07,2005-07-01,39.2,52.0,,-0.254452926208637,0.38610038610038533,-0.6405533123090223
ago-05,2005-08,2005-08-01,38.7,51.9,,-1.2755102040816313,-0.19230769230769162,-1.0832025117739397
sept-05,2005-09,2005-09-01,39.8,52.6,,2.8423772609818876,1.3487475915221703,1.4936296694597173
oct-05,2005-10,2005-10-01,40.9,53.5,,2.7638190954773822,1.7110266159695797,1.0527924795078025
nov-05,2005-11,2005-11-01,42.4,54.4,,3.667481662591676,1.6822429906542036,1.9852386719374726
